name,type,P [kW],pressure ratio,Δp [bar],η_s,Q [kW],kA [kW/K],UA [kW/K],ΔT_upper [K],ΔT_lower [K],ΔT_pinch [K],LMTD [K],pr_hot,pr_cold,ε_hot,ε_cold,P_in [kW],P_out [kW],η,P_in_total [kW],P_out_total [kW]
COMP1,Compressor,215.0399,2.5325,-22.7777,0.8,,,,,,,,,,,,,,,,
COMP2,Compressor,183.805,1.9363,-12.5812,0.8,,,,,,,,,,,,,,,,
IHX,HeatExchanger,,,,,-931.0181,90.9487,88.9714,18.2586,5.0,5.0,10.2367,1.0,1.0,0.9132,0.7804,,,,,
SNK_HX,HeatExchanger,,,,,-1114.8231,167.785,218.8815,8.6149,5.0,5.0,6.6444,1.0,1.0,0.9051,0.9919,,,,,
SRC_HX,HeatExchanger,,,,,-715.9783,92.1434,75.1457,11.4127,5.0,5.0,7.7703,1.0,1.0,0.6955,0.8714,,,,,
MOT1,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT2,Motor,,,,,,,,,,,,,,,,,,0.95,,
VAL1,Valve,,0.3949,22.7777,,,,,,,,,,,,,,,,,
VAL2,Valve,,0.5165,12.5812,,,,,,,,,,,,,,,,,
electricity distribution,PowerBus,,,,,,,,,,,,,,,,,,,,
