f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,component,PEC [EUR],PEC [EUR/kW]
R1270,R600,R1270/R600,0.3,20.0,120.0,1.736,0.459,V_OUT,COMP1,182198.4,165.48
R1270,R600,R1270/R600,0.3,20.0,120.0,1.736,0.459,V_OUT,COMP2,438569.9,398.32
R1270,R600,R1270/R600,0.3,20.0,120.0,1.736,0.459,V_OUT,IHX,88292.8,80.19
R1270,R600,R1270/R600,0.3,20.0,120.0,1.736,0.459,V_OUT,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.3,20.0,120.0,1.736,0.459,V_OUT,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.3,20.0,120.0,1.736,0.459,V_OUT,SNK_HX,303658.9,275.79
R1270,R600,R1270/R600,0.3,20.0,120.0,1.736,0.459,V_OUT,SRC_HX,103734.9,94.21
R1270,R600,R1270/R600,0.3,30.0,120.0,1.879,0.451,OK,COMP1,168035.7,152.61
R1270,R600,R1270/R600,0.3,30.0,120.0,1.879,0.451,OK,COMP2,382717.2,347.59
R1270,R600,R1270/R600,0.3,30.0,120.0,1.879,0.451,OK,IHX,97382.9,88.44
R1270,R600,R1270/R600,0.3,30.0,120.0,1.879,0.451,OK,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.3,30.0,120.0,1.879,0.451,OK,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.3,30.0,120.0,1.879,0.451,OK,SNK_HX,303323.1,275.48
R1270,R600,R1270/R600,0.3,30.0,120.0,1.879,0.451,OK,SRC_HX,108157.5,98.23
R1270,R600,R1270/R600,0.3,40.0,120.0,2.039,0.439,OK,COMP1,156305.9,141.96
R1270,R600,R1270/R600,0.3,40.0,120.0,2.039,0.439,OK,COMP2,335286.1,304.51
R1270,R600,R1270/R600,0.3,40.0,120.0,2.039,0.439,OK,IHX,105900.1,96.18
R1270,R600,R1270/R600,0.3,40.0,120.0,2.039,0.439,OK,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.3,40.0,120.0,2.039,0.439,OK,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.3,40.0,120.0,2.039,0.439,OK,SNK_HX,293408.9,266.48
R1270,R600,R1270/R600,0.3,40.0,120.0,2.039,0.439,OK,SRC_HX,112010.9,101.73
R1270,R600,R1270/R600,0.3,50.0,120.0,2.215,0.423,OK,COMP1,146887.3,133.41
R1270,R600,R1270/R600,0.3,50.0,120.0,2.215,0.423,OK,COMP2,294747.8,267.7
R1270,R600,R1270/R600,0.3,50.0,120.0,2.215,0.423,OK,IHX,113739.8,103.3
R1270,R600,R1270/R600,0.3,50.0,120.0,2.215,0.423,OK,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.3,50.0,120.0,2.215,0.423,OK,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.3,50.0,120.0,2.215,0.423,OK,SNK_HX,283296.9,257.3
R1270,R600,R1270/R600,0.3,50.0,120.0,2.215,0.423,OK,SRC_HX,115349.6,104.76
R1270,R600,R1270/R600,0.4,20.0,120.0,1.773,0.469,OK,COMP1,206579.5,187.62
R1270,R600,R1270/R600,0.4,20.0,120.0,1.773,0.469,OK,COMP2,361456.1,328.28
R1270,R600,R1270/R600,0.4,20.0,120.0,1.773,0.469,OK,IHX,92829.2,84.31
R1270,R600,R1270/R600,0.4,20.0,120.0,1.773,0.469,OK,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.4,20.0,120.0,1.773,0.469,OK,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.4,20.0,120.0,1.773,0.469,OK,SNK_HX,299132.8,271.68
R1270,R600,R1270/R600,0.4,20.0,120.0,1.773,0.469,OK,SRC_HX,104778.5,95.16
R1270,R600,R1270/R600,0.4,30.0,120.0,1.899,0.456,OK,COMP1,188005.1,170.75
R1270,R600,R1270/R600,0.4,30.0,120.0,1.899,0.456,OK,COMP2,323058.3,293.41
R1270,R600,R1270/R600,0.4,30.0,120.0,1.899,0.456,OK,IHX,100786.6,91.54
R1270,R600,R1270/R600,0.4,30.0,120.0,1.899,0.456,OK,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.4,30.0,120.0,1.899,0.456,OK,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.4,30.0,120.0,1.899,0.456,OK,SNK_HX,290517.9,263.85
R1270,R600,R1270/R600,0.4,30.0,120.0,1.899,0.456,OK,SRC_HX,108598.6,98.63
R1270,R600,R1270/R600,0.5,20.0,120.0,1.757,0.465,OK,COMP1,232936.7,211.56
R1270,R600,R1270/R600,0.5,20.0,120.0,1.757,0.465,OK,COMP2,300165.6,272.62
R1270,R600,R1270/R600,0.5,20.0,120.0,1.757,0.465,OK,IHX,96824.5,87.94
R1270,R600,R1270/R600,0.5,20.0,120.0,1.757,0.465,OK,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.5,20.0,120.0,1.757,0.465,OK,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.5,20.0,120.0,1.757,0.465,OK,SNK_HX,284735.2,258.6
R1270,R600,R1270/R600,0.5,20.0,120.0,1.757,0.465,OK,SRC_HX,104329.6,94.75
R1270,R600a,R1270/R600a,0.3,20.0,120.0,1.55,0.408,V_OUT,COMP1,158211.8,143.69
R1270,R600a,R1270/R600a,0.3,20.0,120.0,1.55,0.408,V_OUT,COMP2,428622.1,389.28
R1270,R600a,R1270/R600a,0.3,20.0,120.0,1.55,0.408,V_OUT,IHX,69338.4,62.97
R1270,R600a,R1270/R600a,0.3,20.0,120.0,1.55,0.408,V_OUT,MOT1,0.0,0.0
R1270,R600a,R1270/R600a,0.3,20.0,120.0,1.55,0.408,V_OUT,MOT2,0.0,0.0
R1270,R600a,R1270/R600a,0.3,20.0,120.0,1.55,0.408,V_OUT,SNK_HX,227907.7,206.99
R1270,R600a,R1270/R600a,0.3,20.0,120.0,1.55,0.408,V_OUT,SRC_HX,97354.6,88.42
R1270,R600a,R1270/R600a,0.3,30.0,120.0,1.691,0.404,OK,COMP1,150440.2,136.63
