name,type,P [kW],pressure ratio,Δp [bar],η_s,Q [kW],kA [kW/K],UA [kW/K],ΔT_upper [K],ΔT_lower [K],ΔT_pinch [K],LMTD [K],pr_hot,pr_cold,ε_hot,ε_cold,P_in [kW],P_out [kW],η,P_in_total [kW],P_out_total [kW]
COMP1,Compressor,215.402,3.9478,-38.2039,0.8,,,,,,,,,,,,,,,,
COMP2,Compressor,183.805,1.9363,-12.5812,0.8,,,,,,,,,,,,,,,,
IHX,HeatExchanger,,,,,-931.0181,33.114,76.176,84.4872,5.0,5.0,28.1155,1.0,1.0,0.9751,0.4322,,,,,
SNK_HX,HeatExchanger,,,,,-1114.8231,167.785,218.8815,8.6149,5.0,5.0,6.6444,1.0,1.0,0.9051,0.9919,,,,,
SRC_HX,HeatExchanger,,,,,-715.6162,92.0895,74.6842,11.4143,5.0,5.0,7.7709,1.0,1.0,0.6954,0.9615,,,,,
MOT1,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT2,Motor,,,,,,,,,,,,,,,,,,0.95,,
VAL1,Valve,,0.2533,38.2039,,,,,,,,,,,,,,,,,
VAL2,Valve,,0.5165,12.5812,,,,,,,,,,,,,,,,,
electricity distribution,PowerBus,,,,,,,,,,,,,,,,,,,,
