name,type,P [kW],pressure ratio,Δp [bar],η_s,Q [kW],kA [kW/K],UA [kW/K],ΔT_upper [K],ΔT_lower [K],ΔT_pinch [K],LMTD [K],pr_hot,pr_cold,ε_hot,ε_cold,P_in [kW],P_out [kW],η,P_in_total [kW],P_out_total [kW]
COMP1,Compressor,254.2961,7.7246,-36.0518,0.8,,,,,,,,,,,,,,,,
COMP2,Compressor,287.3248,2.9868,-16.0751,0.8,,,,,,,,,,,,,,,,
IHX,HeatExchanger,,,,,-813.7323,21.002,61.6917,131.7566,5.0,5.0,38.7455,1.0,1.0,0.9796,0.3289,,,,,
SNK_HX,HeatExchanger,,,,,-1101.057,200.8197,219.8827,5.9958,5.0,5.0,5.4828,1.0,1.0,0.9183,0.9942,,,,,
SRC_HX,HeatExchanger,,,,,-559.4362,82.6796,64.3987,8.9065,5.0,5.0,6.7663,1.0,1.0,0.6399,0.9747,,,,,
MOT1,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT2,Motor,,,,,,,,,,,,,,,,,,0.95,,
VAL1,Valve,,0.1295,36.0518,,,,,,,,,,,,,,,,,
VAL2,Valve,,0.3348,16.0751,,,,,,,,,,,,,,,,,
electricity distribution,PowerBus,,,,,,,,,,,,,,,,,,,,
